1,41
2,29
3,32
4,23
5,24
6,27
7,30
8,26
9,42
10,42
11,26
12,29
13,35
14,41
15,33
16,38
17,29
18,34
19,48
20,45
21,37
22,39
23,47
24,51
25,54
26,51
27,53
28,50
29,45
30,46
31,52
32,54
33,56
34,52
35,32
36,39
37,50
38,52
39,39
40,48
41,59
42,59
43,67
44,58
45,65
46,57
47,54
48,50
49,55
50,48
51,50
52,44
53,72
54,34
55,60
56,54
57,50
58,66
59,53
60,59
61,70
62,58
63,51
64,65
65,58
66,81
67,58
68,75
69,61
70,72
71,59
72,68
73,80
74,67
75,73
76,66
77,75
78,72
79,66
80,76
81,64
82,55
83,57
84,49
85,67
86,56
87,70
88,54
89,64
90,53
91,49
92,41
93,46
94,52
95,44
96,48
97,55
98,43
99,50
100,37
101,45
102,33
103,37
104,38
105,31
106,39
107,29
108,37
109,39
110,39
111,45
112,36
113,39
114,41
115,41
116,41
117,39
118,34
119,40
120,43
121,35
122,35
123,36
124,41
125,32
126,49
127,32
128,31
129,51
130,45
131,44
132,45
133,56
134,49
135,47
136,48
137,40
138,47
139,39
140,47
141,40
142,42
143,36
144,51
145,44
146,57
147,41
148,46
149,43
150,53
151,43
152,48
153,48
154,51
155,62
156,47
157,46
158,61
159,52
160,69
161,62
162,52
163,72
164,60
165,59
166,51
167,65
168,65
169,72
170,61
171,72
172,65
173,51
174,48
175,61
176,63
177,72
178,50
179,63
180,53
181,52
182,49
183,61
184,59
185,59
186,63
187,54
188,60
189,80
190,72
191,74
192,69
193,56
194,57
195,51
196,71
197,66
198,75
199,68
200,67
201,74
202,74
203,68
204,67
205,69
206,70
207,55
208,71
209,69
210,81
211,71
212,70
213,71
214,91
215,81
216,95
217,73
218,54
219,60
220,69
221,69
222,68
223,73
224,51
225,80
226,69
227,65
228,58
229,53
230,73
231,81
232,82
233,91
234,75
235,72
236,70
237,65
238,77
239,73
240,76
241,76
242,75
243,60
244,62
245,67
246,97
247,59
248,89
249,83
250,90
251,69
252,83
253,91
254,101
255,94
256,93
257,81
258,85
259,87
260,95
261,86
262,98
263,67
264,72
265,53
266,66
267,81
268,63
269,82
270,69
271,73
272,80
273,76
274,81
275,79
276,83
277,102
278,87
279,77
280,81
281,90
282,69
283,68
284,60
285,62
286,76
287,69
288,82
289,75
290,59
291,76
292,68
293,94
294,74
295,87
296,85
297,94
298,76
299,82
300,72
301,75
302,69
303,91
304,67
305,71
306,78
307,73
308,60
309,56
310,55
311,67
312,81
313,76
314,75
315,79
316,54
317,74
318,70
319,64
320,76
321,75
322,79
323,91
324,80
325,87
326,80
327,77
328,72
329,68
330,75
331,74
332,75
333,73
334,79
335,77
336,67
337,57
338,95
339,69
340,78
341,75
342,71
343,57
344,69
345,46
346,56
347,45
348,47
349,54
350,69
351,70
352,58
353,74
354,70
355,65
356,66
357,59
358,82
359,77
360,73
361,57
362,82
363,77
364,72
365,84
